"# Source: DAPO (Yu et al. 2025), arXiv:2503.14476, Figure 3b"
# 'The proportion of samples with an accuracy of 1' (avg@32 = 100%) vs training step.
# All-correct (k=G) branch of the silent-group mass p^G + (1-p)^G removed by dynamic sampling.
# DAPO training group size G = 16; metric uses n = 32 samples per prompt.
"# Digitized by pixel extraction; axis calibration RMS < 2 steps (x), < 0.0002 (y)."
step,allcorrect_fraction
71,0.0
223,0.0187
374,0.0627
526,0.1005
677,0.1076
828,0.2416
980,0.247
1131,0.2525
1283,0.2842
1434,0.3091
1585,0.3292
1737,0.3527
1888,0.3653
2039,0.3762
2191,0.3782
2342,0.3936
2494,0.4041
2645,0.4028
2796,0.4035
2948,0.3902
3099,0.4317
3251,0.4481
3402,0.4277
3553,0.4345
3705,0.4307
3856,0.4437
4008,0.458
4159,0.4587
4310,0.4546
4462,0.4914
4613,0.491
4764,0.4938
4916,0.489
5067,0.5156
5219,0.5077
5370,0.5176
5521,0.5152
5673,0.5217
5824,0.5391
5976,0.5296
6127,0.533
6278,0.5299
6430,0.5432
6581,0.5561
6732,0.5343
6884,0.5555
7035,0.5572
7187,0.5636
7338,0.5664
7489,0.55
7641,0.5643
7792,0.5514
7944,0.5578
8095,0.5711
8246,0.5745
8398,0.5817
8549,0.5865
8701,0.5725
8852,0.5677
9003,0.565
